"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"373","","Carlos Henderson","FA","WR118","","351","351","351.0","0.0","",""
"374","","Marcedes Lewis","GB","TE54","7","355","355","355.0","0.0","373.0","-1.0"
"375","","Jacob Hollister","NE","TE55","11","356","356","356.0","0.0","",""
"376","","Josh Reynolds","LAR","WR119","12","358","358","358.0","0.0","",""
"377","","Nick Boyle","BAL","TE56","10","362","362","362.0","0.0","",""
"378","","Cameron Artis-Payne","CAR","RB96","4","363","363","363.0","0.0","348.0","-30.0"
"379","","Mack Hollins","PHI ","WR120","9","366","366","366.0","0.0","",""
"380","","J.J. Nelson","ARI","WR121","9","368","368","368.0","0.0","340.0","-40.0"
"381","","Corey Coleman","NYG","WR122","9","369","369","369.0","0.0","292.0","-89.0"
"382","","Lance Kendricks","GB","TE57","7","370","370","370.0","0.0","",""
"383","","Pharoh Cooper","LAR ","WR123","12","371","371","371.0","0.0","321.0","-62.0"
"384","","Auden Tate","CIN","WR124","9","372","372","372.0","0.0","",""
"385","","De'Anthony Thomas","KC ","WR125","12","373","373","373.0","0.0","",""
"386","","Jordan Lasley","BAL","WR126","10","374","374","374.0","0.0","",""
"387","","Marcell Ateman","OAK","WR127","7","376","376","376.0","0.0","",""
"388","","Eric Tomlinson","NYJ","TE58","11","378","378","378.0","0.0","395.0","+7.0"
"389","","Jake Kumerow","GB ","WR128","7","379","379","379.0","0.0","379.0","-10.0"
"390","","Paul Perkins","NYG","RB97","9","380","380","380.0","0.0","",""
"391","","Blake Jarwin","DAL","TE59","8","381","381","381.0","0.0","301.0","-90.0"
"392","","Dwayne Allen","NE","TE60","11","383","383","383.0","0.0","",""
"393","","Tajae Sharpe","TEN","WR129","8","385","385","385.0","0.0","",""
"394","","J'Mon Moore","GB","WR130","7","386","386","386.0","0.0","313.0","-81.0"
"395","","ArDarius Stewart","NYJ ","WR131","11","388","388","388.0","0.0","",""
"396","","Richie James","SF","WR132","11","389","389","389.0","0.0","",""
